Average Cost for two,Votes,Country Code,City,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Cuisine_Count,Cuisine_avg_rating,Aggregate rating
0.11441054097061731,-0.7658010686847135,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,1,2,2.5670112111649863,0.0
0.21677971001738924,0.5186497188606114,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,2,2,3.030742717995057,3.8
-0.27929485481125355,-0.7658010686847135,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,2,2.7081395157169466,0.0
-0.27929485481125355,0.019613001998910876,3.351163685324101,3.3314049586776857,3.351163685324101,0,0,0,1,1,2.509796557120501,3.1
-1.6856756824943415,0.5863325346637347,4.0225225225225225,4.2,3.9714666666666667,0,0,0,4,1,4.032608695652174,4.0
0.11441054097061731,-0.49168711742964666,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,1,1,2.6242258652094717,2.7
-0.27929485481125355,0.18104435522307985,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.5595744680851062,3.7
0.21677971001738924,-1.1212191210878772,3.351163685324101,3.154280510018215,3.351163685324101,0,0,0,2,2,2.499575084643901,0.0
0.4717841201110243,-0.1068382889765167,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,2,1,2.509796557120501,3.2
0.7882186166911666,0.2292596681504597,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,2,3,2.5854852941353395,3.0
0.0,-0.15205343709695487,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,3,2.2908287851767106,3.2
0.21677971001738924,-0.6005410855321057,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,2,2,2.7081395157169466,3.0
-0.6724630660295038,-0.448487648435151,3.351163685324101,3.3314049586776857,3.351163685324101,0,0,0,1,2,2.7081395157169466,3.1
0.0,-1.1212191210878772,3.351163685324101,3.3314049586776857,3.351163685324101,0,0,0,1,1,2.509796557120501,0.0
2.456958850415017,1.019613001998911,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,4,1,3.27752808988764,3.7
0.0,-0.12121912108787714,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,2,2.5907614097620963,3.3
0.3939745464007345,0.8344335123686167,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,2,4,2.345570728162658,3.3
0.3094025129767618,1.1026903202026181,3.351163685324101,3.3314049586776857,3.351163685324101,0,1,0,2,6,2.427300955362471,3.8
